[ leeksLazyLogger by Eartharoid ] Log File (13/00/2020) -->
[INFO | 22:48:52] 1: Attempting to load the event 'guildMemberAdd'
[INFO | 22:48:52] 2: Attempting to load the event 'guildMemberRemove'
[INFO | 22:48:52] 3: Attempting to load the event 'message'
[INFO | 22:48:52] 4: Attempting to load the event 'ready'
[INFO | 22:48:52] 5: Attempting to load the command 'about.js'
[INFO | 22:48:52] 6: Attempting to load the command 'accept.js'
[INFO | 22:48:52] 7: Attempting to load the command 'announce.js'
[INFO | 22:48:52] 8: Attempting to load the command 'apply.js'
[INFO | 22:48:52] 9: Attempting to load the command 'bal.js'
[INFO | 22:48:52] 10: Attempting to load the command 'changelog.js'
[INFO | 22:48:52] 11: Attempting to load the command 'deny.js'
[INFO | 22:48:52] 12: Attempting to load the command 'help.js'
[INFO | 22:48:52] 13: Attempting to load the command 'history.js'
[INFO | 22:48:52] 14: Attempting to load the command 'ip.js'
[INFO | 22:48:52] 15: Attempting to load the command 'listpermissions.js'
[INFO | 22:48:52] 16: Attempting to load the command 'mcstats.js'
[INFO | 22:48:52] 17: Attempting to load the command 'permissions.js'
[INFO | 22:48:52] 18: Attempting to load the command 'ping.js'
[INFO | 22:48:52] 19: Attempting to load the command 'poll.js'
[INFO | 22:48:52] 20: Attempting to load the command 'remind.js'
[INFO | 22:48:52] 21: Attempting to load the command 'rps.js'
[INFO | 22:48:52] 22: Attempting to load the command 'status.js'
[INFO | 22:48:52] 23: Attempting to load the command 'suggest.js'
[INFO | 22:48:52] 24: Attempting to load the command 'swear.js'
[INFO | 22:48:52] 25: Attempting to load the command 'test.js'
[INFO | 22:48:52] 26: Attempting to load the command 'toggle.js'
[INFO | 22:48:52] 27: Attempting to load the command 'warn.js'
[INFO | 22:48:52] Successfully loaded all commands.
[INFO | 22:48:52] FrozenWaters [v2.0] is now connected!
[INFO | 22:48:52] You are running version 2.0!
[INFO | 22:48:52] 163 Users Online!
[INFO | 22:48:52] 2 Guilds!
