[ leeksLazyLogger by Eartharoid ] Log File (11/00/2020) -->
[INFO | 17:05:17] 1: Attempting to load the event 'guildMemberAdd'
[INFO | 17:05:17] 2: Attempting to load the event 'guildMemberRemove'
[INFO | 17:05:17] 3: Attempting to load the event 'message'
[INFO | 17:05:17] 4: Attempting to load the event 'ready'
[INFO | 17:05:17] 5: Attempting to load the command 'about.js'
[INFO | 17:05:17] 6: Attempting to load the command 'accept.js'
[INFO | 17:05:17] 7: Attempting to load the command 'announce.js'
[INFO | 17:05:17] 8: Attempting to load the command 'apply.js'
[INFO | 17:05:17] 9: Attempting to load the command 'bal.js'
[INFO | 17:05:17] 10: Attempting to load the command 'deny.js'
[INFO | 17:05:17] 11: Attempting to load the command 'help.js'
[INFO | 17:05:17] 12: Attempting to load the command 'history.js'
[INFO | 17:05:17] 13: Attempting to load the command 'ip.js'
[INFO | 17:05:17] 14: Attempting to load the command 'listpermissions.js'
[INFO | 17:05:17] 15: Attempting to load the command 'mcstats.js'
[INFO | 17:05:17] 16: Attempting to load the command 'permissions.js'
[INFO | 17:05:17] 17: Attempting to load the command 'ping.js'
[INFO | 17:05:17] 18: Attempting to load the command 'poll.js'
[INFO | 17:05:17] 19: Attempting to load the command 'remind.js'
[INFO | 17:05:17] 20: Attempting to load the command 'rps.js'
[INFO | 17:05:17] 21: Attempting to load the command 'status.js'
[INFO | 17:05:17] 22: Attempting to load the command 'suggest.js'
[INFO | 17:05:17] 23: Attempting to load the command 'swear.js'
[INFO | 17:05:17] 24: Attempting to load the command 'test.js'
[INFO | 17:05:17] 25: Attempting to load the command 'toggle.js'
[INFO | 17:05:17] 26: Attempting to load the command 'warn.js'
[INFO | 17:05:17] Successfully loaded all commands.
[INFO | 17:05:17] FrozenWaters [v2.0] is now connected!
[INFO | 17:05:17] You are running version 2.0!
[INFO | 17:05:17] 161 Users Online!
[INFO | 17:05:17] 2 Guilds!
