[ leeksLazyLogger by Eartharoid ] Log File (13/00/2020) -->
[INFO | 22:47:54] 1: Attempting to load the event 'guildMemberAdd'
[INFO | 22:47:54] 2: Attempting to load the event 'guildMemberRemove'
[INFO | 22:47:54] 3: Attempting to load the event 'message'
[INFO | 22:47:54] 4: Attempting to load the event 'ready'
[INFO | 22:47:54] 5: Attempting to load the command 'about.js'
[INFO | 22:47:54] 6: Attempting to load the command 'accept.js'
[INFO | 22:47:54] 7: Attempting to load the command 'announce.js'
[INFO | 22:47:54] 8: Attempting to load the command 'apply.js'
[INFO | 22:47:54] 9: Attempting to load the command 'bal.js'
[INFO | 22:47:54] 10: Attempting to load the command 'changelog.js'
[INFO | 22:47:54] 11: Attempting to load the command 'deny.js'
[INFO | 22:47:54] 12: Attempting to load the command 'help.js'
[INFO | 22:47:54] 13: Attempting to load the command 'history.js'
[INFO | 22:47:54] 14: Attempting to load the command 'ip.js'
[INFO | 22:47:54] 15: Attempting to load the command 'listpermissions.js'
[INFO | 22:47:54] 16: Attempting to load the command 'mcstats.js'
[INFO | 22:47:54] 17: Attempting to load the command 'permissions.js'
[INFO | 22:47:54] 18: Attempting to load the command 'ping.js'
[INFO | 22:47:54] 19: Attempting to load the command 'poll.js'
[INFO | 22:47:54] 20: Attempting to load the command 'remind.js'
[INFO | 22:47:54] 21: Attempting to load the command 'rps.js'
[INFO | 22:47:54] 22: Attempting to load the command 'status.js'
[INFO | 22:47:54] 23: Attempting to load the command 'suggest.js'
[INFO | 22:47:54] 24: Attempting to load the command 'swear.js'
[INFO | 22:47:54] 25: Attempting to load the command 'test.js'
[INFO | 22:47:54] 26: Attempting to load the command 'toggle.js'
[INFO | 22:47:54] 27: Attempting to load the command 'warn.js'
[INFO | 22:47:54] Successfully loaded all commands.
[INFO | 22:47:54] FrozenWaters [v2.0] is now connected!
[INFO | 22:47:54] You are running version 2.0!
[INFO | 22:47:54] 163 Users Online!
[INFO | 22:47:54] 2 Guilds!
